ID,English,Others,Japanese
ghostname12a,Elder Thunder Girl,Elder Rai-onna,老雷少女
ghostname13,Suck-ass-bee,Succubus,夢魔
ghostname14,Mad Nurse,Mad Nurse,双子の看護師
ghostname15,Cone-Cone,Kunekune,コーンコーン
ghostname16,Cookiesaki Lady,Kuchisake-onna,クッキーサキレディ
ghostname17,Umbrella,Kasa-obake,サキュバス
ghostname18,Talk-Talk,Teke-teke,トークトーク
ghostname19,Oh-Baker,Obake,オー・ベイカー
housename0,Abandoned Shed,Secret Orgy Shed,放棄された小屋
housename00,First Contract,Abandoned Sex Shed,最初の契約
houseinfo0,Recollection of our first contract. Hope I remember everything as it happened.,I was called by a drunken girl to fuck her. I didn't expected to find a ghost there. I instanstly fell in love with that ghost but her jealouse sister attacked me.,私の最初の契約の思い出。すべて正確に覚えていればいいのですが。
housename1,Luna's Home,Ona-hole's Home,つきこの家
houseinfo1,It seems some ghost have followed her to her home. A common risk that comes with this career. Now we must banish the ghost out of her house.,While fucking Tsukiko in her basement the table began to levitate. We figured out her house is haunted and dealt with the ghost there.,何かの幽霊が彼女の家について行ったようです。幽霊ハンターにとってよくあるリスクです。今、私たちは幽霊をそこから追放しなければなりません。
housename2,Croydon Street House,Tatsuka's House,たつかの家
houseinfo2,We were contacted by a couple regarding some paranormal activity at their house. Their daughter was trying to catch a ghost but ended up bringing it to her house.,Tatsuka brought some kind of ghost with her after her failed expedition. As a professional I gotta take care of that.,ある夫婦から、彼らの家で幽霊が出たと連絡を受けました。彼らのゴーストハンターの娘が誤って彼らの家に幽霊を連れてきてしまったのです。
housename3,Hillford Asylum,Hirakawa Asylum,平川精神病院
houseinfo3,After being operational for over 100 years it finally shutdown 2 years ago. People have reported seeing strange apparitions inside the building.,This asylum is haunted and yet daring couple often use it as a sex place. I must visit it to catch ghosts and record someone doing it.,ここは2年前に閉鎖されましたが、現在はエッチなカップルがセックスをするためによく利用しています。彼らの多くは、ここで夜に幽霊のような活動があったと報告しています。
housename4,Sunflower City Streets,Sunflower City Streets,ひまわり市
houseinfo4,"A lively city with lots of fun thing to do during the day but as the night comes, it's streets are haunted by ghostly presence.",There are a lot of good erotic stuff here which can't be found any where else. Good way to attract horny spirits.,日中はやるべきことがたくさんある活気のある街ですが、夜になると街には幽霊が出没します。
housename5,Evergreen University,Evergreen University,エバーグリーン大学
houseinfo5,Their usual ghost hunter is busy at the moment so you have been contacted to get rid of any nasty spirits in the vicinity.,Rumia has lost focus from her job so you have been contacted to contacted to get rid of all horny ghosts in the university.,いつものゴーストハンターが応答しないため、幽霊に対処するために私たちに連絡がありました。
housename6,Shepherd Household,Shishime Household,志々目家住宅
houseinfo6,Mrs. Shepherd suspect that someone is releasing ghosts inside her house. Don't if it's true but it's our job to banish them out of there.,Mrs. Shishime suspect that someone is releasing ghosts inside her house. Don't if it's true but it's our job to banish them out of there.,志々目さんから、自宅で心霊現象が起きているとの連絡がありました。どうやら誰かがその邪悪な霊を彼女の家に持ち込んでいるらしい。
housename6a,Raven’s Home,Kawamura Household,川村家住宅
houseinfo6a,Mrs. Raven suspect that someone is releasing ghosts inside her house. Don't if it's true but it's our job to banish them out of there.,Mrs. Kawamura suspect that someone is releasing ghosts inside her house. Don't if it's true but it's our job to banish them out of there.,川村さんから、自宅で心霊現象が起きているとの連絡がありました。どうやら誰かがその邪悪な霊を彼女の家に持ち込んでいるらしい。
needpass,You will need a lifetime pass to travel to this location.,You will need a life time pass to travel to that location.,この場所に行くには生涯パスが必要です。
notenough,You don't have enough money to buy this pass.,You don't have enough money to buy this pass.,このパスを買うのに十分なお金がありません。
pleaseby,Please buy a lifetime pass to travel to this location.,Please buy a lifetime pass to travel to this location.,この場所を訪れるには生涯パスを購入してください。
letsgo,Let's Go!,Let's Go!,さあ行こう！
maylater,Maybe Later,Maybe Later,おそらく後で
coins, coins, coins,円
contractfail,You failed!,You failed!,あなたが失敗した！
storename,Hunt Or Be Hunted,Hunt Or Be Hunted,狩るか狩られるか！
exitstore,Exit Store,Exit Store,店を出る
cheatname1on,Infinite Stamina Activated,Infinite Stamina Activated,無限スタミナ発動
cheatname1off,Infinite Stamina De-activated,Infinite Stamina De-activated,無限スタミナが無効化されました
cheatname2on,Faster Climax,Cum faster!,早く射精する
cheatname2off,Normal Climax,Take your time to cum.,兼通常の速度
cheatname5,Ghost is Angry!,Ghost wanna fuck you right now!,幽霊が怒っている！
location1,Foyer,Foyer,ロビー
location2,Living Room,Living Room,リビングルーム
location3,Bathroom,Bathroom,バスルーム
location4,Basement,Basement,地下
location5,Kitchen,Kitchen,台所
location6,Hallway,Hallway,廊下
location7,Luna’s Bedroom,Tsukiko’s Room,つきこの寝室
location8,Outer Room,Outer Room,外の部屋
location9,Inner Room,Inner Room,奥の部屋
location10,Tess’s Bedroom,Tatsuka’s Room,たつかの寝室
location11,Bedroom 2,Bedroom 2,寝室2
location12,Garage,Garage,ガレージ
location13,Parent’s Bedroom,Parent’s Bedroom,両親の寝室
location14,Lobby,Lobby,ロビー
location15,Director’s Room,Fuck Cabin,監督の部屋
location16,Waiting Room,Waiting Room,待合室
location17,Lower Lounge,Lower Lounge,下のラウンジ
location18,Ruth Hallway 1,Reiko Hallway 1,れいこの廊下1
location19,Nurse 1,Nurse 1,看護師1
location20,Utility,Utility,効用
location21,Toilet,Toilet,トイレ
location22,Ruth Hallway 2,Reiko Hallway 2,れいこの廊下2
location23,F101,F101,F101
location24,F102,F102,F102
location25,F103,F103,F103
location26,Marissa Hallway 1,Masumi Hallway 1,ますみの廊下1
location27,Nurse 2,Nurse 2,看護師2
location28,Marissa Hallway 2,Masumi Hallway 2,ますみの廊下2
location29,F201,F201,F201
location30,F202,F202,F202
location31,F203,F203,F203
location32,Upper Lounge,Upper Lounge,アッパーラウンジ
location33,Mariam Hallway 1,Momoe Hallway 1,ももえの廊下1
location34,Nurse 3,Nurse 3,看護師3
location35,Mariam Hallway 2,Momoe Hallway 2,ももえの廊下2
location36,M201,M201,M201
location37,M202,M202,M202
location38,M203,M203,M203
location39,Jack Hallway 1,Jack Hallway 1,ジャックの廊下1
location40,Poll Booth,Truck Location,投票所
location41,Backalley 1,Just an Alley,裏路地1
location42,Hot Girl Club,Masuo’s Workplace 1,クラブ
location43,Hillford Cinema,Sex Movie Cinema,平川 シネマ 
location44,Backalley 2,Another Alley,裏路地2
location45,Backalley 3,Special Storage Unit,裏路地3
location46,LAG World,LAGS Games,LAGワールド
location47,Star Plum Restaurant,Alley Sex Restaurant,スタープラム
location48,Ghost Room,Ghost Sex Room,幽霊部屋
location49,My Bedroom,My Bedroom,私の寝室
location50,Front Door,Front Door,正面玄関
location51,Truck,Sex Truck,トラック
location52,Secret Lab,Secret Lab and Sex Room,秘密の研究室
location53,Lockers,Lockers,ロッカー
location54,Middle Hallway 1F,Middle Hallway 1F,1階中廊下
location55,Left Hallway 1F,Left Hallway 1F,1階廊下左
location56,Right Hallway 1F,Right Hallway 1F,1階右廊下
location57,Security Room,Security Room,用務員室
location58,Art Club,Sex Club,美術部
location59,Infirmary,Nurse’s Office,保健室
location60,Storage Room,Sex Room,貯蔵室
location61,Boy’s Toilet 1F,Boy’s Toilet 1F,1階男子トイレ
location62,Girl’s Toilet 1F,Girl’s Toilet 1F,1階女子トイレ
location63,Class 1-1,Class 1-1,クラス1-1
location64,Class 1-2,Class 1-2,クラス1-2
location65,Middle Hallway 2F,Middle Hallway 2F,2階中廊下
location66,Manga Club,Manga Club,漫画クラブ
location67,Computer Lab,Computer Lab,コンピューター
location68,Left Hallway 2F,Left Hallway 2F,2階廊下左
location69,Right Hallway 2F,Right Hallway 2F,2階右廊下
location70,Faculty Room,Faculty Room,職員室
location71,Faculty Lounge,Special Sex Room,教員ラウンジ
location72,Girl’s Shower Room,Girl’s Shower Room,女の子のシャワー
location73,Girl’s Toilet 2F,Girl’s Toilet 2F,2階女子トイレ
location74,Boy’s Toilet 2F,Boy’s Toilet 2F,2階男子トイレ
location75,Class 2-1,Class 2-1,クラス2-1
location76,Class 2-2,Class 2-2,クラス2-2
location77,Middle Hallway 3F,Middle Hallway 3F,3階中廊下
location78,Left Hallway 3F,Left Hallway 3F,3階廊下左
location79,Class 3-1,Class 3-1,クラス3-1
location80,Class 3-2,Class 3-2,クラス3-2
location81,Girl’s Toilet 3F,Girl’s Toilet 3F,3階女子トイレ
location82,Boy’s Toilet 3F,Boy’s Toilet 3F,3階男子トイレ
location83,Boy’s Shower Room,Boy’s Shower Room,男の子のシャワー
location84,Right Hallway 3F,Right Hallway 3F,3階右廊下
location85,Empty Room,Empty Room,空の部屋
location86,Class 4-1,Class 4-1,クラス4-1
location87,Class 4-2,Class 4-2,クラス4-2
location88,Earth 398,Other World,地球398
location89,Middle Hallway 1F Year 1996,Middle Hallway 1F Year 1996,1階中廊下 1996年
location90,Storage Room Year 1996,Storage Room Year 1996,保管室 1996年
location91,"Hillford University Storage Room, Year 2015","Hirakawa University Storage Room, Year 2015",平川大学倉庫、2015 年
location92,Walkway,Walkway,庭
location93,Guest Room,Guest Room,ゲストルーム
location94,2nd Floor,2nd Floor,2階
location95,Dojo,Dojo,道場
location96,Suzy’s Room,Shizuka’s Room,しずかの部屋
location97,Regina’s Room,Ryoko’s Room,涼子の部屋
location98,Carmen’s Room,Chihiro’s Room,ちひろの部屋
location99,Judy’s Room,Junsa’s Room,じゅんさの部屋
location100,Athena’s Room,Azusa’s Room,あずさの部屋
location101,A Secret Room,A Secret Room,秘密の部屋
location102,,,
location103,,,
location104,,,
hunting,Hunting!,Fuck Time!,狩猟！
namebailey,Life Size Doll,Doll,れいこの人形
namekpad,Keypad,Keypad,キーパッド
nameluna,Luna,Hot Assistant,つきこ
namesabrina,Sabrina,Her Sister,さわこ
namegloria,Lust,Some Mage,ラシ
namenina,Nina,Fox Girl,なびき
nameirene,Irene,Demon Hunter,いずみ
namecomputer,Luna’s Computer,Watch Porn,つきこのコンピューター
namespeak,Talk,Talk,話す
nameswitch,Switch,Switch,スイッチ
namenotice,Contract Board,Contract Board,契約ボード
namewendy,Wendy,My Wife,かおり
namethermo,Thermometer,Thermometer,温度計
nameemf,EMF Reader,EMF Reader,EMFリーダー
namerope,Special Rope,Special Rope,特別なロープ
nameburger,Honey Burger,Honey Burger,ハニーバーガー
namefearpill,Fear Pills,Fear Pills,恐怖の薬
namesalt,Cum Salt,Cum Salt,兼塩
nameencan,Energy Can,Energy Can,エネルギー缶
namedagger,Cursed Dagger,Cursed Dagger,呪われた短剣
namebook,Notebook,Notebook,本
namecamera,Motion Camera,Motion Camera,カメラ
namevidcam,Video Camera,Video Camera,ビデオカメラ
nameghostbox,Audio Box,Audio Box,オーディオボックス
namewater,Cum Water,Cum Water,兼水
nameflour,Flour,Flour,小麦粉
namemirror,Dark Mirror,Dark Mirror,暗い鏡
namelaserproj,Laser Projector,Laser Projector,レーザープロジェクター
namecandle,Candle,Candle,キャンドル
nameuvlight,UV Torch,UV Torch,紫外線トーチ
nameincense,Incense Stick,Incense Stick,線香
nameopenmap,Open Map,Open Map,マップを開く
namehide,Hide,Hide,隠れる
namecollect,Collect,Loot,集める
namepowerbreaker,Power Breaker,Power Breaker,電源スイッチ
namesink,Sink,Sink,シンク
namecctvcomp,CCTV Computer,CCTV Computer,監視カメラ
namenext,Next,Next,次
nameback,Previous,Previous,前の
namephone,My Phone,My Phone,私の電話
nametess,Tess,Actual Assistant,たつか
nametessbot,Tess’s Robot,Sex Doll,たつかのロボット
namedrunkgirl,Drunk Girl,Horny Girl,酔った女の子
nameview,View,View,交流する
nameliz,Len,Lenyushka,リズ
questiontutor,Do you want to try a tutorial?,Do you want to know how to catch a ghost?,チュートリアルを試してみますか?
yes,Yes,Yes,はい
no,No,I’m an Expert,いいえ
boardinfo1,Press 'Def E' key to pick up closest object.,Press 'Def E' key to pick up closest object.,「E」を押してオブジェクトを拾います。
boardinfo2,Press 'Def F' to use object in current slot (some work automatically).,Press 'Def F' to use object in current slot (some work automatically).,持っているオブジェクトを使用するには、「F」を押します。(一部のオブジェクトは自動的に動作します)
boardinfo3,"Press '1','2','3' to change slots.","Press '1','2','3' to change slots.",「1」「2」または「3」を押してスロットを変更します。
boardinfo4,Press 'Def G' to drop objects in current active slot.,Press 'Def G' to drop objects in current active slot.,現在のオブジェクトをスローするには、「G」を押します。
boardinfo5,Press 'Def A' or 'Def D' to move around.,Press 'Def A' or 'Def D' to move around.,「A」または「D」を押して移動します。
boardinfo6,Press and hold 'Def SPACE' to run.,Press and hold 'Def SPACE' to run.,「スペース」を押したままにして実行します。
boardinfo7,"Ghost is currently in wandering state. During this period, you have collect different evidences to identify the ghost type.","Ghost is currently in wandering state. During this period, you have collect different evidences to identify the ghost type.",幽霊は現在徘徊状態にあります。この間、証拠を集めて幽霊を特定する必要があります。
boardinfo8,Once your fear meter is over 50% it will try to hunt. It can be captured when it begins hunting you using specific tools for each ghost.,Once your fear meter is over 50% it will try to hunt. It can be captured when it begins hunting you using specific tools for each ghost.,通常レベルでは、恐怖心が 50% を超えるとゴーストに狩られます。狩猟中に、さまざまなツールを使用して幽霊を捕まえることができます。
endinvesttext,Do you want to end your investigation and return to home?,Do you want to end your investigation and return to home?,調査を終了して家に帰りますか?
notenoughmoney,Not enough money!,No money!,お金が足りない...
cantcarry,Can’t carry more...,Can’t carry more...,これ以上は運べない
clicki,Click on 'i',Click on 'i',「i」をクリックします
pressredbutton,Press Red button to purchase and blue to get information.,Press Red button to purchase and blue to get information.,「赤」ボタンを押して購入するか、「青」ボタンを押して情報を取得します。
toolinfo1,Famous delicacy from Hailey's Burger joint. Recover 25 HP. Don't ask where the honey came from cause even we don't know.,Famous delicacy from Hailey's Burger joint. Recover 25 HP. Don't ask where the honey came from because you know it yourself.,ひまわり市の有名なハンバーガーです。馬力が 25 回復します。蜂蜜がどこから来たのかは聞かないでください。私たちさえ知りません。
toolinfo2,One of the impossible thing to do in world is to scare user of these pills. It relieves fear by 25%.,One of the impossible thing to do in world is to scare user of these pills. It relieves fear by 25%.,この世で不可能なことの一つは、この薬を飲んだ人を怖がらせることです。恐怖が 25% 軽減されます。
toolinfo3,This honey flavoured drink is very popular beverage from Hailey's Burgers. It nullifies stamina cost for 90 sec. Drinking multiple increase the duration.,This honey flavoured drink is very popular beverage from Hailey's Burgers. It nullifies stamina cost for 90 sec. Drinking multiple increase the duration.,ひまわりバーガーのはちみつ味のドリンクです。90秒間疲れずに走れます。
toolinfo4,A camera with motion sensor that can capture photo as it detects any motion in front of it.,A camera with motion sensor that can capture photo as it detects any motion in front of it.,このカメラは、目の前に幽霊のような存在を検出するとすぐに写真を撮ります。
toolinfo5,These incense are known to repel any ghosts if it onto you. It must be used within certain range or it's effect is useless.,These incense are known to repel any ghosts if it onto you. It must be used within certain range or it's effect is useless.,これらは、ゴーストがあなたを追いかけている場合に撃退することが知られています。ゴーストがあなたの近くにある場合は必ず使用してください。
toolinfo6,Not all ghost walks. It's really helpful distinguish between a walking and floating ghost.,Not all ghost walks. It's really helpful distinguish between a walking and floating ghost.,すべての幽霊が歩くわけではありません。いくつかの幽霊は浮くので、この小麦粉はそれを学ぶのに役立ちます。
toolinfo7,Some ghosts fear fire. If multiple candles are set close ghost will be too scared to move.,These candles can burn some ghost’s cloths allowing you to fuck them.,火を恐れる幽霊もいます。このキャンドルを数本使うと、彼らを倒すのに効果的です。
toolinfo8,Cum crystallized and stored in this vial. Drop it on the way of ghosts weak to it.,Cum crystallized and stored in this vial. Drop it on the way of ghosts weak to it.,精液が結晶化してこのバイアルに保存されているので、ゴーストパスに投げ込みます。
toolinfo9,A dagger that can be plunge into some types of ghost to capture them.,A dagger that can be plunge into some types of ghost to capture them.,この短剣を幽霊に突き刺して捕まえることができます。
toolinfo10,"With use of regular mirror, this object is super effective against some ghosts.",Using is in front of regular mirror cast rays of nightmare from it. It can be used to capture some ghosts.,この鏡は光を通常の鏡からゴーストを殺すビームに変えることができます。
toolinfo11,Special rope with a weird shape at one end used to bind some ghost to ground.,Special rope with a weird shape at one end used to bind some ghost to ground.,幽霊を捕まえることができる奇妙な端を持つ特別なロープ。
toolinfo12,Cum mixed with water and some other ingredients. Super effective on some ghosts.,Cum mixed with water and some other ingredients. Super effective on some ghosts.,幽霊を倒すことができる兼混合水。
toolinfo13,Some ghost still possess some ability to write. This notebook can use to determine such type of ghosts.,Some ghost still possess some ability to write. This notebook can use to determine such type of ghosts.,幽霊の中には文字を書く能力を持っている人もいます。これは彼らの気分を表現するのに役立ちます。
toolinfo14,Some ghost maybe visible in this laser grid projector.,Some ghost maybe visible in this laser grid projector.,一部のゴーストはレーザー投影を作成します。
toolinfo15,Used to see fingerprints on objects touched by ghosts.,Used to see fingerprints on objects touched by ghosts.,紫外線の下でゴーストによって作られた指紋を見てください。
toolinfo16,Sometimes you need a camera to compensate for things you can't see with naked eyes. This camera does just that.,Sometimes you need a camera to compensate for things you can't see with naked eyes. This camera does just that.,ナイトビジョンモードのカメラでのみ何かを見ることができます。
toolinfo17,Replenish 40% health and can run for a longer time for 3 minutes.,Replenish 40% health and can run for a longer time for 3 minutes.,replenish 40% hp and can run longer for 3 minutes.
toolinfo18,Can run faster for 3 minutes.,Can run faster for 3 minutes.,3分間より速く走ることができます。
raisetitle,Appraisal Review,Fuck Score,評価レビュー
raisemethod,(Special Favour),(All Holes),(特別な好意が行われました)
raisename,Name :-,Name :-,名前：-
raiseginaname,Gina Wayne,Just a lady,山田ももこ
raiseage,Age :-,Age :-,年：-
raiseginaage,32,32,32
raisequalifics,Qualifications :-,Qualifications :-,資格:-
raisemeasure,Measurements :-,Sex Stats:-,測定値:-
raiseginabreast,Breasts - 112 cm,Oral 3 times,おっぱい-112cm
raiseginahips,Waist - 73 cm,Vaginal 794 times,ウエスト-73cm
raiseginabutt,Butt - 107 cm,Anal  0 times,尻-107cm
raisecurrent,Current Salary :-,My Guess:-,現在の給与：-
raiseginacurrent,800 coins,38 strokes,800円
raiserequest,Requested Raise :-,Promised Strokes:-,要求された昇給:-
raiseginarequest,2000 coins,699 strokes,2000円
raiseapproved,Approved Raise :-,Actual Strokes:-,承認された昇給:-
raiseginaapproved,+205 coins,196 strokes,+205円
raisebreakdown,Raise Breakdown:-,Sex Notes:-,昇給の内訳:-
raiseginaora,Oral In- 4x1 Out 3x0.5,O- Suck at sucking,口腔 内側 4x1 外側 3x0.5
raiseginavag,Vaginal In 4x10 Out 7x5,V- Too used by her hubby,膣の内側 4x10 外側 7x5
raiseginaanal,Anal In 11x7.5 Out 6x6,A- Tightest ass fucked,アナル 内側 11x7.5 外側 6x6
raisestatus,Status:-,Comments:-,オファーステータス:-
raiseginaterm,Terms Rejected,Not happy with size,断った
raiseginareject,Resigned...,Want bigger dick,辞任しました...
raiseauther,Authorized Signature,Incharge Fucker,承認された署名
raisethom,Dr. R. Thomson,Dr. Ass Fucker,田中博士
raisesylname,Sylvia Cole,Random Girl 1,すみれ
raisesylage,20,20,2000円
raisesylbreast,Breasts - 115 cm,Oral 4260 times,おっぱい-115 cm
raisesylhips,Waist - 73 cm,Vaginal 1 time,ウエスト-73cm
raisesylbutt,Butt – 112 cm,Anal 0 time,尻-112cm
raisesylcurrent,450 coins,69 strokes,450円
raisesylrequest,3700 coins,514 strokes,3700円
raisesylapproved,+854 coins,236 strokes,+854円
raisesylora,Oral In- 40x1 Out 22x0.5,O- Suck life out of you,口腔 内側 40x1 外側 22x0.5
raisegsylvag,Vaginal In 65x10 Out 21x5,V- Too used but good.,膣の内側 65x10 外側 21x5
raisesylanal,Anal In 4x7.5 Out 3x6,A- Even my balls could fit in,アナル 内側 4x7.5 外側 3x6
raisesylterm,Terms Rejected,Wants to be director,断った
raisesylreject,Resigned...,Turned into a ghost,辞任しました...
